edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
699,9.097156553893456e-05,9.097172729411532e-05,-1.6175518075228137e-10,-0.16175518075228137
700,9.100014086999929e-05,9.100029749827839e-05,-1.5662827909570185e-10,-0.15662827909570184
701,9.102870313054078e-05,9.102886770244146e-05,-1.6457190067273893e-10,-0.1645719006727389
702,9.105726594861128e-05,9.105743790660451e-05,-1.719579932241168e-10,-0.17195799322411678
703,9.108583101494746e-05,9.108600811076758e-05,-1.7709582011493791e-10,-0.1770958201149379
704,9.111439767982793e-05,9.111457831493065e-05,-1.806351027107782e-10,-0.18063510271077818
705,9.114296561480989e-05,9.11431485190937e-05,-1.8290428381031205e-10,-0.18290428381031204
706,9.117153456412009e-05,9.117171872325677e-05,-1.8415913668068882e-10,-0.1841591366806888
707,9.120010435623015e-05,9.120028892741984e-05,-1.8457118968145837e-10,-0.18457118968145836
708,9.122867485121561e-05,9.12288591315829e-05,-1.8428036727515384e-10,-0.18428036727515384
709,9.125724596810466e-05,9.125742933574596e-05,-1.833676412985412e-10,-0.1833676412985412
710,9.128581758352804e-05,9.128599953990903e-05,-1.819563809890808e-10,-0.18195638098908082
711,9.131438967103025e-05,9.13145697440721e-05,-1.8007304184201074e-10,-0.18007304184201073
712,9.134296213321606e-05,9.134313994823517e-05,-1.778150191072906e-10,-0.1778150191072906
713,9.137153493809778e-05,9.137171015239822e-05,-1.7521430043529613e-10,-0.17521430043529612
714,9.140010805724536e-05,9.140028035656129e-05,-1.72299315924472e-10,-0.172299315924472
715,9.142868144175495e-05,9.142885056072436e-05,-1.69118969408275e-10,-0.169118969408275
716,9.145725504923179e-05,9.145742076488741e-05,-1.6571565561755165e-10,-0.16571565561755164
717,9.148582887711882e-05,9.148599096905048e-05,-1.6209193165667828e-10,-0.1620919316566783
718,9.151440287672039e-05,9.151456117321355e-05,-1.5829649315163696e-10,-0.15829649315163696
719,9.154297703720033e-05,9.15431313773766e-05,-1.543401762694608e-10,-0.1543401762694608
720,9.157155134670734e-05,9.157170158153967e-05,-1.5023483232922957e-10,-0.15023483232922957
721,9.160012576874502e-05,9.160027178570274e-05,-1.460169577173684e-10,-0.1460169577173684
722,9.162870032999748e-05,9.162884198986581e-05,-1.4165986832105863e-10,-0.14165986832105862
723,9.165727495953372e-05,9.165741219402888e-05,-1.3723449515364178e-10,-0.13723449515364178
724,9.168584969467946e-05,9.168598239819193e-05,-1.3270351246824087e-10,-0.13270351246824086
