period_number,period_s,period_error_s,period_error_ps
1136,7.81297788031638e-09,4.87565999377773e-13,0.487565999377773
1137,7.812954453580568e-09,4.641392635661183e-13,0.46413926356611834
1138,7.81290244239658e-09,4.121280795779696e-13,0.4121280795779696
1139,7.812942813857095e-09,4.524995400928571e-13,0.4524995400928571
1140,7.812948005220385e-09,4.57690903382625e-13,0.457690903382625
1141,7.812921694601662e-09,4.31380284659849e-13,0.431380284659849
1142,7.812882448407477e-09,3.921340904747299e-13,0.3921340904747299
1143,7.81296112764454e-09,4.708133275368688e-13,0.47081332753686883
1144,7.812925285736756e-09,4.3497141975313696e-13,0.43497141975313697
1145,7.812870938435899e-09,3.8062411889646085e-13,0.38062411889646086
1146,7.812933179162252e-09,4.428648452497004e-13,0.44286484524970043
1147,7.812921041274986e-09,4.307269579832364e-13,0.4307269579832364
1148,7.812882419025598e-09,3.9210470859585555e-13,0.39210470859585556
1149,7.81288233859135e-09,3.920242743471843e-13,0.3920242743471843
1150,7.81293046581079e-09,4.401514937877839e-13,0.4401514937877839
1151,7.81288079551416e-09,3.9048119715772144e-13,0.39048119715772145
1152,7.800049076225153e-09,-1.2441238091849581e-11,-12.44123809184958
1153,7.803238202054889e-09,-9.252112262113398e-12,-9.252112262113398
1154,7.805650915015082e-09,-6.8393993019205305e-12,-6.839399301920531
1155,7.807570328970115e-09,-4.9199853468875525e-12,-4.919985346887552
1156,7.80844121761777e-09,-4.0490966992320536e-12,-4.049096699232053
1157,7.80912146500722e-09,-3.368849309781684e-12,-3.368849309781684
1158,7.809646635788649e-09,-2.8436785283532705e-12,-2.8436785283532706
1159,7.810084506868647e-09,-2.405807448355374e-12,-2.405807448355374
1160,7.81044870939258e-09,-2.041604924421893e-12,-2.041604924421893
1161,7.810756490320061e-09,-1.7338239969414874e-12,-1.7338239969414875
1162,7.81101232563068e-09,-1.4779886863228496e-12,-1.4779886863228495
1163,7.811226839963626e-09,-1.2634743533767077e-12,-1.2634743533767077
1164,7.811423057761495e-09,-1.067256555507508e-12,-1.067256555507508
1165,7.811597846994604e-09,-8.924673223985992e-13,-0.8924673223985992
1166,7.811738446156149e-09,-7.51868160853532e-13,-0.751868160853532
1167,7.811864012434444e-09,-6.263018825583182e-13,-0.6263018825583182
1168,7.812070408668098e-09,-4.1990564890393307e-13,-0.41990564890393306
1169,7.812147491796932e-09,-3.428225200700187e-13,-0.3428225200700187
1170,7.812239567381828e-09,-2.507469351747575e-13,-0.2507469351747575
1171,7.812311154418799e-09,-1.7915989820371526e-13,-0.17915989820371525
1172,7.812431875790608e-09,-5.843852639405162e-14,-0.05843852639405162
1173,7.81252756156545e-09,3.724724844767895e-14,0.03724724844767895
1174,7.812568154650442e-09,7.784033343914964e-14,0.07784033343914963
1175,7.812603946305455e-09,1.136319884521868e-13,0.11363198845218679
1176,7.812708971790833e-09,2.1865747383099503e-13,0.21865747383099504
1177,7.812760862452198e-09,2.7054813519514486e-13,0.27054813519514487
1178,7.812784680923807e-09,2.943666068042457e-13,0.2943666068042457
1179,7.812810795532329e-09,3.204812153267635e-13,0.3204812153267635
1180,7.812918812670315e-09,4.2849835331263813e-13,0.42849835331263814
