edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
50349,0.00017783326616191568,0.00017783326855168015,-2.3897644528868206e-12,-2.3897644528868205
50350,0.00017783659993172754,0.00017783660188495397,-1.953226413012522e-12,-1.953226413012522
50351,0.00017783993380724028,0.0001778399352182278,-1.4109874975685927e-12,-1.4109874975685928
50352,0.00017784326762596567,0.0001778432685515016,-9.255359206280994e-13,-0.9255359206280994
50353,0.00017784660144705793,0.00017784660188477545,-4.37717503240016e-13,-0.437717503240016
50354,0.000177849935314249,0.00017784993521804927,9.619975395427249e-14,0.0961997539542725
50355,0.00017785326905451812,0.00017785326855132309,5.031950464568713e-13,0.5031950464568713
50356,0.000177856602913764,0.0001778566018845969,1.0291671075008602e-12,1.0291671075008602
50357,0.0001778599367624207,0.00017785993521787072,1.5445499827666176e-12,1.5445499827666176
50358,0.00017786327055637773,0.00017786326855114454,2.0052332050221683e-12,2.005233205022168
50359,0.00017786660442351321,0.00017786660188441838,2.5390948426450083e-12,2.5390948426450084
50360,0.00017786993823659227,0.0001778699352176922,3.018900084406577e-12,3.018900084406577
50361,0.00017787327205337215,0.00017787326855096602,3.502406141863708e-12,3.502406141863708
50362,0.00017787660587693257,0.00017787660188423984,3.992692745497455e-12,3.992692745497455
50363,0.0001778799396491689,0.00017787993521751366,4.431655251164811e-12,4.431655251164811
50364,0.00017788327346601867,0.00017788326855078747,4.915231212557013e-12,4.915231212557013
50365,0.00017788660723341474,0.0001778866018840613,5.349353460255634e-12,5.349353460255633
50366,0.00017788994099211043,0.00017788993521733514,5.77477531078071e-12,5.77477531078071
50367,0.00017789327477716525,0.00017789326855060896,6.226556311628308e-12,6.226556311628308
50368,0.00017789660849806103,0.00017789660188388277,6.614178266561306e-12,6.614178266561306
50369,0.00017789994223546998,0.0001778999352171566,7.018313406627834e-12,7.018313406627834
50370,0.00017790326819299744,0.0001779032685504304,-3.574329557837136e-13,-0.3574329557837136
50371,0.00017790659817887687,0.00017790660188370423,-3.704827338947759e-12,-3.7048273389477595
50372,0.0001779099315523115,0.00017790993521697807,-3.66466656602004e-12,-3.66466656602004
50373,0.00017791326432235662,0.0001779132685502519,-4.2278952560525285e-12,-4.227895256052529
50374,0.00017791659768936574,0.0001779166018835257,-4.194159953089936e-12,-4.194159953089936
50375,0.00017791993114649817,0.00017791993521679953,-4.0703013474264954e-12,-4.070301347426495
50376,0.00017792326476649003,0.00017792326855007334,-3.783583296866129e-12,-3.7835832968661287
50377,0.00017792659842112257,0.00017792660188334716,-3.4622245803190355e-12,-3.4622245803190355
50378,0.00017792993213858077,0.000177929935216621,-3.078040223899174e-12,-3.078040223899174
50379,0.0001779332659188047,0.00017793326854989482,-2.6310901026715194e-12,-2.6310901026715197
50380,0.0001779365996741125,0.00017793660188316864,-2.2090561399899716e-12,-2.2090561399899715
50381,0.00017793993350943713,0.00017793993521644246,-1.707005319368508e-12,-1.7070053193685082
50382,0.0001779432673412307,0.00017794326854971628,-1.2084855554874496e-12,-1.2084855554874496
50383,0.00017794660115450699,0.0001779466018829901,-7.284830973507056e-13,-0.7284830973507056
50384,0.0001779499350178762,0.00017794993521626394,-1.9838773412959144e-13,-0.19838773412959143
50385,0.00017795326875406518,0.00017795326854953776,2.045274345474013e-13,0.2045274345474013
50386,0.0001779566026029057,0.00017795660188281158,7.200941362915036e-13,0.7200941362915037
50387,0.00017795993644021324,0.0001779599352160854,1.224127854266226e-12,1.224127854266226
50388,0.00017796327023585933,0.0001779632685493592,1.6865001279812375e-12,1.6865001279812375
50389,0.00017796660410387887,0.00017796660188263303,2.2212458511605765e-12,2.2212458511605764
50390,0.00017796993789495714,0.00017796993521590685,2.6790502998077437e-12,2.6790502998077437
50391,0.0001779732717096259,0.0001779732685491807,3.160445225899665e-12,3.160445225899665
50392,0.0001779766055339394,0.0001779766018824545,3.651484889257366e-12,3.651484889257366
50393,0.00017797993929783202,0.00017797993521572833,4.0821037002659255e-12,4.082103700265925
50394,0.00017798327310318684,0.00017798326854900215,4.554184706279947e-12,4.554184706279948
50395,0.00017798660685907334,0.00017798660188227597,4.9767973889761136e-12,4.976797388976114
50396,0.00017798994061400637,0.00017798993521554978,5.398456597176742e-12,5.398456597176741
50397,0.00017799327440088194,0.00017799326854882363,5.852058325837649e-12,5.852058325837649
50398,0.00017799660811283833,0.00017799660188209745,6.230740898333233e-12,6.230740898333233
50399,0.00017799994185294232,0.00017799993521537126,6.637571066844962e-12,6.637571066844962
50400,0.0001780032678138729,0.00017800326854864508,-7.347721746825336e-13,-0.7347721746825336
50401,0.00017800659781129662,0.0001780066018819189,-4.070622271269551e-12,-4.070622271269551
50402,0.00017800993119574619,0.00017800993521519272,-4.019446519265411e-12,-4.019446519265411
50403,0.00017801326399340372,0.00017801326854846656,-4.555062829684202e-12,-4.555062829684202
50404,0.00017801659737749903,0.00017801660188174038,-4.504241340739921e-12,-4.504241340739921
50405,0.00017801993085416688,0.0001780199352150142,-4.360847309282094e-12,-4.360847309282094
50406,0.00017802326448714722,0.00017802326854828802,-4.061140787745894e-12,-4.061140787745894
50407,0.0001780265981447349,0.00017802660188156184,-3.7368269155473655e-12,-3.7368269155473657
50408,0.00017802993189594747,0.00017802993521483565,-3.3188881742066756e-12,-3.3188881742066756
50409,0.000178033265684159,0.00017803326854810947,-2.8639504645237773e-12,-2.863950464523777
50410,0.0001780365994589137,0.00017803660188138332,-2.422469601155226e-12,-2.422469601155226
50411,0.00017803993332381004,0.00017803993521465713,-1.8908470849640574e-12,-1.8908470849640575
50412,0.00017804326715691767,0.00017804326854793095,-1.3910132680499465e-12,-1.3910132680499465
50413,0.00017804660097568226,0.00017804660188120477,-9.055224972009179e-13,-0.9055224972009179
