offset_frequency_hz,phase_noise_dbc_per_hz
1347058.8475788936,-124.18453167445708
1352941.2006250897,-129.38866145676676
1358823.5536712857,-136.57758076349336
1364705.9067174818,-128.09865588980273
1370588.2597636778,-126.52771651287796
1376470.612809874,-122.17714129131791
1382352.9658560697,-118.56324904356691
1388235.3189022657,-120.8735232915416
1394117.6719484618,-125.67975845681049
1400000.0249946578,-127.00345450853165
1405882.378040854,-122.37196782802123
1411764.73108705,-126.29499177183413
1417647.084133246,-134.04992487636375
1423529.437179442,-143.04754387074968
1429411.790225638,-123.50967822515994
1435294.1432718341,-122.34598134219725
1441176.4963180302,-130.5922783121947
1447058.8493642262,-128.66953975458836
1452941.2024104223,-134.0291834639434
1458823.5554566183,-129.2345011300972
1464705.9085028144,-127.64272439571886
1470588.2615490104,-149.14731909272933
1476470.6145952065,-124.7399221625151
1482352.9676414025,-125.39230300538604
1488235.3206875985,-128.1588007766867
1494117.6737337946,-129.22478102050928
1500000.0267799906,-128.3532582211718
1505882.3798261867,-127.12284985062684
1511764.7328723827,-130.26676219678527
1517647.0859185788,-125.18406666214798
1523529.4389647748,-131.43148028554842
1529411.7920109709,-131.02114453759586
1535294.145057167,-127.8167982962402
1541176.498103363,-123.49448617585571
1547058.851149559,-131.41168989156583
1552941.204195755,-131.43013329911363
1558823.557241951,-126.44904989221187
1564705.9102881472,-125.15373102747503
1570588.2633343432,-125.44293992394971
1576470.6163805393,-128.44990683721605
1582352.9694267353,-129.01163729551087
1588235.3224729314,-132.74183368222296
1594117.6755191274,-129.4581096970942
1600000.0285653234,-136.24441783060934
1605882.3816115195,-135.79797616916665
1611764.7346577155,-130.5895958133775
1617647.0877039116,-131.088358660775
1623529.4407501076,-137.87614005887212
1629411.7937963037,-134.05862884481334
1635294.1468424995,-128.6845215029209
1641176.4998886955,-130.0822331871253
1647058.8529348916,-129.82669934982658
1652941.2059810876,-133.5408045666984
1658823.5590272837,-121.54794175684754
1664705.9120734797,-121.54676995024992
1670588.2651196758,-128.35468366876313
1676470.6181658718,-137.4970629241089
1682352.9712120679,-141.34428766678874
1688235.324258264,-135.82803559095632
1694117.67730446,-141.25854165023435
1700000.030350656,-136.354877499696
1705882.383396852,-131.00860926655986
1711764.736443048,-129.57993044676897
1717647.0894892442,-126.13849061212301
1723529.4425354402,-122.86318330827592
1729411.7955816363,-123.49054789066759
1735294.1486278323,-129.86470827377985
1741176.5016740283,-129.58458440339334
1747058.8547202244,-128.5504240401127
1752941.2077664204,-132.01715610263224
1758823.5608126165,-128.74014721666816
1764705.9138588125,-128.7751720115985
1770588.2669050086,-124.79101758521884
1776470.6199512046,-128.37310675247676
1782352.9729974007,-138.29544680981613
1788235.3260435967,-139.4022614584148
1794117.6790897928,-135.1944689947972
1800000.0321359888,-133.54727550467942
1805882.3851821849,-138.04038664094577
1811764.738228381,-137.13284857893615
1817647.091274577,-129.67199765738684
1823529.444320773,-133.59838534720342
1829411.797366969,-131.2564881481519
1835294.150413165,-125.82760407666925
1841176.5034593611,-127.93133105815558
1847058.8565055572,-130.158227606297
1852941.2095517532,-127.61080253311029
1858823.5625979493,-133.92456036463406
1864705.9156441453,-130.62041373881104
1870588.2686903414,-126.63065042446294
1876470.6217365374,-127.5568723364616
1882352.9747827332,-131.7390564231416
1888235.3278289293,-142.23118106891238
1894117.6808751253,-129.85308731506294
1900000.0339213214,-126.09073539454705
1905882.3869675174,-140.59311048375923
1911764.7400137135,-130.44110603972808
1917647.0930599095,-149.3058093141547
1923529.4461061056,-133.77492218936817
1929411.7991523016,-133.93493924320197
1935294.1521984977,-135.16670051422668
1941176.5052446937,-134.63019090148876
1947058.8582908898,-146.1853614409256
1952941.2113370858,-138.89502746266976
