edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
285,0.022533546234291362,0.02253336221013577,1.840241555903237e-07,0.1840241555903237
286,0.022566895398207384,0.022566698036073397,1.9736213398569057e-07,0.19736213398569058
287,0.022600244172146663,0.02260003386201102,2.1031013564265554e-07,0.21031013564265555
288,0.022633593619279982,0.022633369687948646,2.2393133133485942e-07,0.22393133133485943
289,0.022666942475949928,0.022666705513886273,2.3696206365442273e-07,0.23696206365442274
290,0.022700292109292326,0.0227000413398239,2.507694684260324e-07,0.2507694684260324
291,0.022733640832124154,0.022733377165761525,2.6366636262792386e-07,0.26366636262792387
292,0.02276699073422836,0.02276671299169915,2.777425292074813e-07,0.2777425292074813
293,0.022800339350160865,0.022800048817636778,2.9053252408664564e-07,0.29053252408664565
294,0.02283368967232211,0.0228333846435744,3.050287477074369e-07,0.30502874770743693
295,0.0228670385126541,0.022866720469512027,3.18043142071706e-07,0.31804314207170603
296,0.022900389159937824,0.022900056295449653,3.3286448817004865e-07,0.33286448817004866
297,0.022933738177548523,0.022933392121387276,3.460561612468609e-07,0.3460561612468609
298,0.02296708908265236,0.022966727947324902,3.6113532745768494e-07,0.36113532745768495
299,0.023000438221210093,0.023000063773262528,3.7444794756466603e-07,0.37444794756466604
300,0.023033789614856442,0.023033399599200154,3.9001565628749057e-07,0.3900156562874906
301,0.02306713880326077,0.02306673542513778,4.033781229900728e-07,0.4033781229900728
302,0.02310049069831962,0.023100071251075407,4.1944724421122447e-07,0.4194472442112245
303,0.023133839943570787,0.023133407077013033,4.328665577535422e-07,0.4328665577535422
304,0.023167192083270397,0.02316674290295066,4.4918031973720284e-07,0.44918031973720285
305,0.023200541583143334,0.023200078728888282,4.628542550511043e-07,0.46285425505110434
306,0.023233893602742552,0.02323341455482591,4.790479166433274e-07,0.4790479166433274
307,0.023267243268968115,0.02326675038076353,4.928882045833475e-07,0.49288820458334753
308,0.02330059536931441,0.023300086206701157,5.091626132512632e-07,0.5091626132512631
309,0.023333945084344585,0.023333422032638784,5.230517058009424e-07,0.5230517058009424
